census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2024,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Noulboo Korean chicken & pork,551 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,46,144.9565184,-37.82099397,"-37.82099397, 144.956518441"
2024,6,578319,573333,Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),The Fresh Collective,"Tenancy 8, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,60,144.9699175,-37.81784465,"-37.81784465, 144.969917465"
2024,6,578324,573333,"Tenancy 29, Transport Federation Square 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Taxi Kitchen,"Tenancy 29, Level 1 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,160,144.9699175,-37.81784465,"-37.81784465, 144.969917465"
2024,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Mr Huang Jin,22 Katherine Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,34,144.9566017,-37.81988483,"-37.81988483, 144.956601666"
2024,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Romo Pizza Bar,21 Katherine Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,25,144.9566017,-37.81988483,"-37.81988483, 144.956601666"
2024,11,103991,103991,520-522 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Kebab Kingz Melbourne Pty Ltd,Ground 520-522 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,18,144.9568837,-37.82024345,"-37.82024345, 144.956883655"
2024,11,105294,105294,27-31 King Street MELBOURNE VIC 3000,Melbourne (CBD),State Of Grace,"Basement, Ground, Mezzanine & Level 5 27 King Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,174,144.9569485,-37.81975559,"-37.81975559, 144.956948504"
2024,11,108972,108972,10-22 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Stubby Cafe Bar & Restaurant,Lobby 16 Spencer Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.9552421,-37.82050677,"-37.82050677, 144.955242109"
2024,12,103995,103995,492-500 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),K-Rib By Kass Kass,"Shop 1, 500 Flinders Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,56,144.9578288,-37.81999599,"-37.81999599, 144.957828786"
2024,12,103998,103998,452-470 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Upstanding Citizens Flinders,"Shop 3-4, Ground 452 Flinders Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,40,144.9586011,-37.81946849,"-37.81946849, 144.958601136"
